author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,sum
Wei Li,0,0,0,0,0,0,1,3,5,2,4,6,8,7,2,8,4,0,50
Bruce D Hammock,0,0,0,0,0,0,0,2,2,1,3,3,8,10,6,4,9,2,50
Wei Zhang,0,0,0,0,0,0,1,4,4,6,6,6,6,4,8,2,2,0,49
Kuo-Hsiung Lee,0,0,0,0,0,0,0,7,4,9,7,11,4,7,0,0,0,0,49
Weihong Tan,0,0,0,0,0,0,0,1,11,3,8,11,9,0,0,0,0,0,43
Jun Li,0,0,0,0,0,0,2,4,2,5,4,6,5,4,1,2,0,1,36
Wei Liu,0,0,0,0,0,0,0,4,3,2,7,3,5,2,3,3,1,3,36
Yan Wang,0,0,0,0,0,0,0,3,6,2,2,5,5,4,2,4,2,0,35
Yan Zhang,0,0,0,0,0,0,0,6,4,4,3,2,3,3,1,7,1,0,34
Yu Zhang,0,0,0,0,0,0,0,2,1,3,3,13,0,2,3,2,4,1,34
Hui Wang,0,0,0,0,0,0,0,0,8,6,5,5,3,1,1,1,2,1,33
Yi Wang,0,0,0,0,0,0,0,0,6,2,4,4,5,3,3,3,2,1,33
Ying Wang,0,0,0,0,0,0,1,2,1,3,0,4,0,3,1,6,7,4,32
Yang Liu,0,0,0,0,0,0,0,1,1,4,6,5,4,3,3,3,2,0,32
Susan L Morris-Natschke,0,0,0,0,0,0,0,5,1,8,6,5,2,4,0,0,0,0,31
Hui Li,0,0,0,0,0,0,0,2,8,2,5,4,2,3,3,1,1,0,31
Xiaoyuan Chen,0,0,0,0,0,0,0,1,8,6,2,4,4,3,2,0,0,0,30
Yan Li,0,0,0,0,0,0,1,5,4,7,1,4,4,2,0,0,1,0,29
Mark L Brusseau,0,0,0,0,0,0,0,0,2,4,5,1,7,4,2,2,1,0,28
Weibo Cai,0,0,0,0,0,0,0,0,0,3,6,4,6,3,1,2,3,0,28
Chuanbin Mao,0,0,0,0,0,0,0,1,9,6,3,6,3,0,0,0,0,0,28
Jing Zhang,0,0,0,0,0,0,0,0,1,1,6,2,1,6,6,1,2,1,27
Wei Wang,0,0,0,0,0,0,0,2,5,4,3,3,3,3,1,1,2,0,27
Weiming Tang,0,0,0,0,0,0,0,2,3,4,3,3,2,2,1,4,3,0,27
Dinggang Shen,0,0,0,0,0,0,0,4,4,2,4,6,4,0,2,0,0,0,26
Jens H Kuhn,0,0,0,0,0,0,0,0,0,1,4,1,5,1,2,2,9,1,26
Wei Chen,0,0,0,0,0,0,1,4,8,2,2,3,5,0,1,0,0,0,26
Hong Wang,0,0,0,0,0,0,0,2,1,2,3,0,0,3,7,4,4,0,26
Lei Wang,0,0,0,0,0,0,0,2,1,3,2,5,3,5,2,2,0,0,25
